species	Fusarium_flagelliforme	Fusarium_fujikuroi	Fusarium_graminearum	Fusarium_mangiferae	Fusarium_musae	Fusarium_oxysporum	Fusarium_poae	Fusarium_sp.	Fusarium_subglutinans	Fusarium_tjaetaba	Fusarium_vanettenii	Fusarium_verticillioides	NI_2020	NI_2021	Inoc_2020	Inoc_2021	NI	Inoc	FER	FER_2020	FER_2021	Fusarium	Fusarium_spp
4226	0	0	0	0	0	0	0	0	0	0	0	0	2.466771572	5.819822888	5.71038547	7.170172429	4.546453902	6.586443104	5.574729882	4.141606356	6.412552674	2.6481	0
4722	0	0	0	0	0	0	0	0	0	0	0	4296.82	5.466771572	0.449250681	7.71038547	7.078977461	3.147081353	7.65830751	5.412864051	6.641606356	3.726583158	3.5521	4296.82
33-16	0	0	0	0	0	0	0	0	0	0	0	0	2.466771572	3.449250681	2.71038547	7.078977461	3.147081353	5.15830751	4.162864051	2.641606356	5.226583158	2.9347	0
38-11	0	0	0	0	0	0	0	0	0	0	0	0	7.466771572	7.078678474	7.71038547	NA	7.247708804	7.94380462	7.767410418	7.641606356	7.357961617	3.316	0
A188	0	0	0	0	0	0	0	0	0	0	0	0	2.211396885	NA	4.484136156	NA	2.392382476	4.656346995	3.542386665	3.338890475	NA	3.9749	0
A214N	0	0	0	0	0	0	0	0	0	0	0	22948.33	6.828334854	8.33753406	7.144762186	6.805392555	6.945826452	7.514578697	7.236595712	6.884816653	7.66867461	2.9739	22948.33
A239	0	0	0	0	0	0	0	0	0	0	0	0	3.828334854	6.449250681	7.144762186	7.078977461	5.143944099	7.298985479	6.222193203	5.384816653	6.726583158	3.5963	0
A554	0	0	0	0	0	0	0	0	0	0	0	0	NA	1.819822888	NA	5.170172429	2.298015526	5.229081587	3.75453642	NA	3.412552674	3.2386	0
A556	0	0	0	0	0	0	0	0	0	0	0	10740.7	5.828334854	NA	7.144762186	NA	5.788617771	7.225160557	6.513581647	6.384816653	NA	3.0939	10740.7
A6	0	8571	0	0	0	0	0	0	0	0	0	0	2.083709542	0.449250681	4.371011499	5.078977461	1.345199001	4.942714291	3.148461542	3.187532534	2.726583158	1.998	8571
A619	0	0	0	0	0	0	0	0	0	0	0	0	6.828334854	4.708106267	7.144762186	NA	5.345199001	7.225160557	6.2386054	6.884816653	4.671992101	3.4276	0
A632	0	0	0	0	0	0	0	0	0	0	0	0	3.211396885	3.33753406	5.484136156	6.805392555	2.747708804	6.730171916	4.750998221	4.338890475	5.16867461	3.0087	0
A634	0	0	0	0	0	0	0	0	0	0	0	0	6.466771572	6.708106267	6.71038547	NA	6.348336254	6.94380462	6.826166531	6.641606356	6.671992101	3.5926	0
A635	0	0	0	0	0	0	0	0	0	0	0	0	1.466771572	NA	2.71038547	1.987782492	1.794892279	2.730171916	2.163869439	2.141606356	1.723265667	3.1515	0
A641	0	0	0	0	0	0	0	0	8737.32	0	0	13105.98	NA	5.708106267	NA	5.896587524	4.90178023	6.660268025	5.783341438	NA	5.854644126	2.7448	21843.3
A659	0	0	0	0	0	0	0	0	0	0	0	0	7.211396885	4.33753406	7.484136156	1.805392555	5.247708804	5.230171916	5.250998221	7.338890475	3.16867461	3.4541	0
A661	0	0	0	0	0	0	0	0	0	0	0	9831.885	3.466771572	NA	6.71038547	NA	3.794892279	6.94380462	5.394923343	5.141606356	NA	3.2662	9831.885
A679	0	0	0	0	0	0	0	0	0	0	0	0	2.083709542	2.819822888	2.371011499	7.170172429	2.74457155	4.870849885	3.810327373	2.187532534	4.912552674	3.1755	0
A680	0	0	0	0	0	0	0	7654.4	0	0	0	0	2.466771572	4.449250681	2.71038547	6.078977461	3.647081353	4.65830751	4.162864051	2.641606356	5.226583158	2.9334	7654.4
A682	0	0	0	0	0	0	0	0	0	0	0	0	2.211396885	3.078678474	3.484136156	2.987782492	2.546453902	3.586443104	3.074729882	2.838890475	3.040613642	1.9521	0
AB28A	0	0	0	0	0	0	0	0	0	0	0	0	2.083709542	5.708106267	6.371011499	6.896587524	3.546453902	7.086443104	5.324729882	4.187532534	6.354644126	2.6586	0
