Taxa	DTA	Rust	SLB	SLBtoxin	NLB	GLS
4226	80.5	4.5	5.758808334	0.5	3.5544	5.4478
4722	92	4.5	6.207358334	1	5.2803	5.723
33-16	91.5	3.25	6.526983334	1	5.7494	6.6151
38-11	95	3.125	5.979238334	0	5.6374	6.2911
A188	72.25	2.875	4.618408334	3.75	3.3384	2.8681
A214N	100.25	2.75	6.338358334	2.875	6.4908	7.0032
A239	81.75	2.875	7.116208334	0.75	5.7016	6.8329
A272	78	NA	4.521858334	1.875	NA	5.7347
A441-5	89	3.75	5.982133334	1.625	6.8388	6.1189
A554	74	NA	4.456758334	1.25	3.4243	3.475
A556	76.5	2.125	6.256828334	1	3.1877	4.694
A6	114	4.3063	6.979983334	1.625	6.1321	6.8088
A619	76.5	2.625	6.169333334	1	5.3289	5.6659
A632	77.75	5.25	5.372233334	2	5.1043	5.5805
A634	74.75	6.375	4.561508334	3.5	3.5139	4.683
A635	74.25	5.375	5.293208334	4	4.2294	4.3918
A641	77.75	NA	5.585458334	0.75	4.819	4.3368
A654	69.75	3.375	4.652158334	1.5	4.8231	4.4901
A659	80.5	5.125	3.940058334	0.5	4.1608	4.9255
A661	73	1.875	6.571258334	2	5.646	6.0452
A679	74.75	4.25	7.443433334	0.375	6.8025	5.3237
A680	87	3.375	5.907383334	2	5.5628	5.2533
A682	75	3.875	7.373733334	0.5	5.2789	6.3068
AB28A	100	4.6229	6.104383334	1	6.5972	5.8651
B10	91	2.75	5.645633334	0.5	5.1102	NA
B103	78	2.875	6.761458334	3	5.9221	5.547
B104	88.5	3.375	4.217608334	3	5.6202	5.5226
B105	88.75	NA	4.094608334	1.875	5.2302	4.7701
B109	83.25	2.875	6.701358334	2.125	5.0278	5.7461
B115	90	3.875	6.411230834	0	6.4726	5.1999
B14A	83.75	2.875	5.634858334	4	4.904	5.3916
B164	81.5	3.375	6.705383334	1.125	5.7942	5.1102
B2	88.5	2.5	6.153240834	1.75	5.5408	7.2561
B37	86.25	4.75	6.078008334	2.375	5.2025	5.6621
B46	87	2.25	5.591608334	0.875	4.9053	5.3163
B52	92.5	3.125	6.008108334	NA	4.5148	7.2247
B57	86.5	3.125	5.458433334	2	6.7482	5.4606
B64	92.75	4.25	6.347383334	2.5	5.5173	5.2162
